Building_Name_English,Building_Name_Traditional_Chinese,Address_English,Address_Traditional_Chinese,COCR_No,BEC_Edition,Issue_Date,Expiry_Date,Remark,Easting,Latitude,Longitude,Northing
"TOWER T6B","-","1 Wetland Park Road, Area 112, Tin Shui Wai, Yuen Long, New Territories","新界元朗天水圍112區濕地公園路1號","34-18868","2015",2022-08-12,2032-08-11,"","","","",""
"VILLAR WV10","-","1 Wetland Park Road, Area 112, Tin Shui Wai, Yuen Long, New Territories","新界元朗天水圍112區濕地公園路1號","34-18869","2015",2022-08-12,2032-08-11,"","","","",""
"VILLAR WV11","-","1 Wetland Park Road, Area 112, Tin Shui Wai, Yuen Long, New Territories","新界元朗天水圍112區濕地公園路1號","34-18870","2015",2022-08-12,2032-08-11,"","","","",""
"No. 11 Chai Wan Kok Street","柴灣角街11號","11 Chai Wan Kok Street, Tsuen Wan, New Territorries","新界荃灣柴灣角街11號","34-20001","2018",2022-08-12,2032-08-11,"","828985","22.37445","114.10616","826142"
"Wong Sheng House","皇盛樓","68 Lung Ma Road, Fanling, New Territories","新界粉嶺龍馬路68號","34-18851","2015",2022-08-19,2032-08-18,"","834341","22.50469","114.15815","840562"
"Wong Yet House","皇溢樓","68 Lung Ma Road, Fanling, New Territories","新界粉嶺龍馬路68號","34-18841","2015",2022-08-19,2032-08-18,"","834059","22.5029","114.15541","840364"
"Wong Ching House","皇澄樓","68 Lung Ma Road, Fanling, New Territories","新界粉嶺龍馬路68號","34-18845","2015",2022-08-19,2032-08-18,"","834334","22.50392","114.15808","840478"
"The Royale (Tower 1)","帝御 (第一座)","8 Castle Peak Road - Castle Peak Bay, Tuen Mun, New Territories","新界屯門青山公路-青山灣段8號","34-19191","2015",2022-08-24,2032-08-23,"","817218","22.37406","113.9919","826108"
"The Royale (Tower 2)","帝御 (第二座)","8 Castle Peak Road - Castle Peak Bay, Tuen Mun, New Territories","新界屯門青山公路-青山灣段8號","34-19271","2015",2022-08-24,2032-08-23,"","817218","22.37406","113.9919","826108"
"The Royale (Tower 3)","帝御 (第三座)","8 Castle Peak Road - Castle Peak Bay, Tuen Mun, New Territories","新界屯門青山公路-青山灣段8號","34-19272","2015",2022-08-24,2032-08-23,"","817218","22.37406","113.9919","826108"
"The Royale (Tower 5)","帝御 (第五座)","8 Castle Peak Road - Castle Peak Bay, Tuen Mun, New Territories","新界屯門青山公路-青山灣段8號","34-19273","2015",2022-08-24,2032-08-23,"","817218","22.37406","113.9919","826108"
"The Royale (Tower 6)","帝御 (第六座)","8 Castle Peak Road - Castle Peak Bay, Tuen Mun, New Territories","新界屯門青山公路-青山灣段8號","34-19274","2015",2022-08-24,2032-08-23,"","817218","22.37406","113.9919","826108"
"The Royale (Tower 7)","帝御 (第七座)","8 Castle Peak Road - Castle Peak Bay, Tuen Mun, New Territories","新界屯門青山公路-青山灣段8號","34-19275","2015",2022-08-24,2032-08-23,"","817218","22.37406","113.9919","826108"
"The Royale (Podium & Basement)","帝御 (平台及地庫)","8 Castle Peak Road - Castle Peak Bay, Tuen Mun, New Territories","新界屯門青山公路-青山灣段8號","34-19276","2015",2022-08-24,2032-08-23,"","817218","22.37406","113.9919","826108"
"St Michel (Tower 3)","瓏珀山 (第三座)","33 To Shek Street, Sha Tin, New Territories","新界沙田多石街33號","34-19362","2018",2022-08-25,2032-08-24,"","838734","22.37509","114.20082","826211"
"St Michel (Tower 5)","瓏珀山 (第五座)","33 To Shek Street, Sha Tin, New Territories","新界沙田多石街33號","34-19363","2018",2022-08-25,2032-08-24,"","838734","22.37509","114.20082","826211"
"St Michel (Tower 6)","瓏珀山 (第六座)","33 To Shek Street, Sha Tin, New Territories","新界沙田多石街33號","34-19364","2018",2022-08-25,2032-08-24,"","838734","22.37509","114.20082","826211"
"One Continental","恒匯中心","232 Wan Chai Road, Wan Chai, Hong Kong","香港灣仔灣仔道232號","34-12709","2018",2022-08-29,2032-08-28,"","836494","22.27803","114.17907","815463"
"Richway Residences","-","115-125, Castle Peak Road, Cheung Sha Wan, Kowloon","九龍長沙灣青山道115-125號","34-18479","2015",2022-08-30,2032-08-29,"","","","",""
"The Vertex","睿峰","27-29 Tonkin Street, 340-342 Fuk Wing Street, 249-263 Un Chau Street, Cheung Sha Wan, Kowloon","九龍長沙灣東京街27至29號、福榮街340至342號、元洲街249至263號","34-18902","2015",2022-09-06,2032-09-05,"","834313","22.33597","114.1579","821879"
"The Henley by Henderson Land - Basement","The Henley by Henderson Land - 地庫","No. 7 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街7號","34-19172","2015",2022-09-07,2032-09-06,"","838628","22.32568","114.19978","820739"
"The Henley by Henderson Land - Clubhouse","The Henley by Henderson Land - 會所","No. 7 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街7號","34-19173","2015",2022-09-07,2032-09-06,"","838628","22.32568","114.19978","820739"
"The Henley by Henderson Land - Retail Block 1 & 2","The Henley by Henderson Land - 商業1座 & 商業2座","No. 7 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街7號","34-19174","2015",2022-09-07,2032-09-06,"","838577","22.32608","114.19928","820784"
"The Henley by Henderson Land - Tower 1","The Henley by Henderson Land - 1座","No. 7 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街7號","34-19175","2015",2022-09-07,2032-09-06,"","838577","22.32608","114.19928","820784"
"The Henley by Henderson Land - Tower 2","The Henley by Henderson Land - 2座","No. 7 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街7號","34-19176","2015",2022-09-07,2032-09-06,"","837929","22.2678","114.19299","814330"
"The Henley by Henderson Land - Tower 3A & 3B","The Henley by Henderson Land - 3A座 & 3B座","No. 7 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街7號","34-19177","2015",2022-09-07,2032-09-06,"","837936","22.26834","114.19306","814390"
"The Henley by Henderson Land - Condominium A","The Henley by Henderson Land - A座","No. 7 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街7號","34-19178","2015",2022-09-07,2032-09-06,"","838628","22.32568","114.19978","820739"
"The Henley by Henderson Land - Condominium B","The Henley by Henderson Land - B座","No. 7 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街7號","34-19179","2015",2022-09-07,2032-09-06,"","838610","22.3255","114.1996","820720"
"The Henley by Henderson Land - Condominium C","The Henley by Henderson Land - C座","No. 7 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街7號","34-19180","2015",2022-09-07,2032-09-06,"","838594","22.32565","114.19945","820737"
"The Henley by Henderson Land - Condominium D","The Henley by Henderson Land - D座","No. 7 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街7號","34-19181","2015",2022-09-07,2032-09-06,"","838612","22.32582","114.19963","820756"
"Advanced Manufacturing Centre","先進製造業中心","Junction of Chun Yat Street, Chun Kwong Street & Chun Cheong Street, Tseung Kwan O Industrial Estate, New Territories","新界將軍澳工業邨駿日街， 駿光街，駿昌街交界","34-19550","2018",2022-09-15,2032-09-14,"","834400","22.25118","114.15875","812490"
"Ancillary Office Building","-","15 Ho Wo Street, Tuen Mun, New Territories","新界屯門浩和街15號","34-18619","2015",2022-09-13,2032-09-12,"","","","",""
"Queens Hill Community Complex","皇后山社區綜合大樓","6 Lung Chun Road, Fanling, New Territories","新界粉嶺龍峻路6號","34-19667","2018",2022-09-26,2032-09-25,"","834182","22.5048","114.1566","840575"
"Podium (Including Clubhouse & Carpark)","平台 (包括會所及停車場)","Residential Development at A.P.I.L. No. 136 - 66 Lee Nam Road, Ap Lei Chau, Hong Kong","鴨脷洲136號地段住宅發展項目 - 香港鴨脷洲利南道66號","34-19103","2015",2022-09-23,2032-09-22,"","844663","22.32041","114.25835","820158"
"Tower 1","一座住宅樓","Residential Development at A.P.I.L. No. 136 - 66 Lee Nam Road, Ap Lei Chau, Hong Kong","鴨脷洲136號地段住宅發展項目 - 香港鴨脷洲利南道66號","34-19104","2015",2022-09-23,2032-09-22,"","823632","22.4697","114.0541","836693"
"Tower 2","二座住宅樓","Residential Development at A.P.I.L. No. 136 - 66 Lee Nam Road, Ap Lei Chau, Hong Kong","鴨脷洲136號地段住宅發展項目 - 香港鴨脷洲利南道66號","34-19105","2015",2022-09-23,2032-09-22,"","823632","22.4697","114.0541","836693"
"Tower 3","三座住宅樓","Residential Development at A.P.I.L. No. 136 - 66 Lee Nam Road, Ap Lei Chau, Hong Kong","鴨脷洲136號地段住宅發展項目 - 香港鴨脷洲利南道66號","34-19106","2015",2022-09-23,2032-09-22,"","823632","22.4697","114.0541","836693"
"Tower 5","五座住宅樓","Residential Development at A.P.I.L. No. 136 - 66 Lee Nam Road, Ap Lei Chau, Hong Kong","鴨脷洲136號地段住宅發展項目 - 香港鴨脷洲利南道66號","34-19107","2015",2022-09-23,2032-09-22,"","823632","22.4697","114.0541","836693"
"Tower 6","六座住宅樓","Residential Development at A.P.I.L. No. 136 - 66 Lee Nam Road, Ap Lei Chau, Hong Kong","鴨脷洲136號地段住宅發展項目 - 香港鴨脷洲利南道66號","34-19108","2015",2022-09-23,2032-09-22,"","823632","22.4697","114.0541","836693"
"Tower 8","八座住宅樓","Residential Development at A.P.I.L. No. 136 - 66 Lee Nam Road, Ap Lei Chau, Hong Kong","鴨脷洲136號地段住宅發展項目 - 香港鴨脷洲利南道66號","34-19211","2015",2022-09-23,2032-09-22,"","823632","22.4697","114.0541","836693"
"18 Cape Road","環角道18","16-18 Cape Road, Chung Hom Kok, Hong Kong","香港舂坎角環角道16-18號","34-17701","2015",2022-09-26,2032-09-25,"","839264","22.21642","114.20593","808641"
"Treasury Building","庫務大樓","3 Tonkin Street West, Cheung Sha Wan, Kowloon","九龍長沙灣東京街西3號","34-18580","2015",2022-09-28,2032-09-27,"","833959","22.33014","114.15447","821234"
"The Fullerton Ocean Park Hotel Hong Kong (East Tower)","","3 Ocean Drive, Tai Shue Wan, Hong Kong - R.B.L. 1020 R.P. & Exts","","34-19113","2015",2022-09-29,2032-09-28,"","836166","22.24795","114.17588","812132"
"The Fullerton Ocean Park Hotel Hong Kong (West Tower)","","3 Ocean Drive, Tai Shue Wan, Hong Kong - R.B.L. 1020 R.P. & Exts","","34-19114","2015",2022-09-29,2032-09-28,"","836166","22.24795","114.17588","812132"
"The Fullerton Ocean Park Hotel Hong Kong (Podium)","","3 Ocean Drive, Tai Shue Wan, Hong Kong - R.B.L. 1020 R.P. & Exts","","34-19115","2015",2022-09-29,2032-09-28,"","836166","22.24795","114.17588","812132"
"Mangrove","曼翹","68 Ma Tau Wai Road, Hung Hom, Kowloon","九龍紅磡馬頭圍道68號","34-19267","2015",2022-10-07,2032-10-06,"","832706","22.33487","114.1423","821757"
"AQUILA SQUARE MILE","利奧坊曦岸","38 Fuk Chak Street (No 2-16 Kok Cheung Street), Tai Kok Tsui, Kowloon","九龍大角咀福澤街38號 (角祥街 2-16號)","34-19202","2015",2022-10-12,2032-10-11,"","834593","22.32044","114.16062","820159"
"Building 604H - Entertainment Support Building","-","Hong Kong Disneyland Resort, Penny's Bay, Lantau Island, New Territories","新界大嶼山竹篙灣香港迪士尼樂園度假區","34-19399","2018",2022-10-13,2032-10-12,"","","","",""
"Henley Park - Podium (Basement)","-","8 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街8號","34-19430","2018",2022-10-11,2032-10-10,"","","","",""
"Henley Park - Clubhouse","-","8 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街8號","34-19431","2018",2022-10-11,2032-10-10,"","","","",""
"Henley Park - Mansion A","-","8 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街8號","34-19432","2018",2022-10-11,2032-10-10,"","","","",""
"Henley Park - Mansion B","-","8 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街8號","34-19433","2018",2022-10-11,2032-10-10,"","","","",""
"Henley Park - Mansion C","-","8 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街8號","34-19434","2018",2022-10-11,2032-10-10,"","","","",""
"Henley Park - Mansion D","-","8 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街8號","34-19435","2018",2022-10-11,2032-10-10,"","","","",""
"Henley Park - Tower 1A & 1B","-","8 Muk Tai Street, Kai Tak, Kowloon","九龍啟德沐泰街8號","34-19436","2018",2022-10-11,2032-10-10,"","","","",""
"W MEGA Tower 1","-","252 Texaco Road & 28 Wang Lung Street, Tsuen Wan, New Territories","新界荃灣德士古道252號及橫龍街28號","34-18735","2015",2022-10-19,2032-10-18,"","","","",""
"W MEGA Tower 2","-","252 Texaco Road & 28 Wang Lung Street, Tsuen Wan, New Territories","新界荃灣德士古道252號及橫龍街28號","34-18736","2015",2022-10-19,2032-10-18,"","","","",""
"HKIA Tower Two","機場行政大樓二座","15 Cheong Tat Road, Hong Kong International Airport, Lantau, Hong Kong","香港大嶼山香港國際機場暢達路15號","34-19814","2018",2022-10-21,2032-10-20,"","811522","22.31729","113.93669","819830"
"Kau Yuk Road, Peng Chau, D.D. P.C. Lot 682","坪洲教育路地段第682號","Kau Yuk Road, Islands District, New Territories (Peng Chau Lot 682)","新界，離島區，教育路 (坪洲地段682號)","34-19230","2018",2022-10-27,2032-10-26,"","820667","22.44278","114.02532","833714"
"HDH Centre","亨利集團中心","No. 8 Pennington Street, Causeway Bay, Hong Kong","香港銅鑼灣邊寧頓街8號","34-19742","2018",2022-10-28,2032-10-27,"","839556","22.38312","114.2088","827100"
"43 Island Road","香島道43號","43 Island Road, Southern, Hong Kong","香港南區香島道43號","34-19954","2018",2022-10-31,2032-10-30,"","837448","22.24133","114.18832","811399"
"Heng King House, Lai King Estate","荔景邨 恒景樓","Lai King Hill Road, Kwai Chung, New Territories","新界葵涌荔景山路","34-18977","2015",2022-11-07,2032-11-06,"","831077","22.35125","114.12648","823572"
"OMA by the Sea (Tower 1)","-","166 Castle Peak Road - Tai Lam, Tuen Mun, New Territories","","34-19568","2018",2022-11-16,2032-11-15,"","","","",""
"OMA by the Sea (Tower 2)","-","166 Castle Peak Road - Tai Lam, Tuen Mun, New Territories","","34-19569","2018",2022-11-16,2032-11-15,"","","","",""
"OMA by the Sea (Podium including Clubhouse and Carpark)","-","166 Castle Peak Road - Tai Lam, Tuen Mun, New Territories","","34-19570","2018",2022-11-16,2032-11-15,"","","","",""
"39 KING'S ROAD","-","39 King's Road, North Point, Hong Kong","香港北角英皇道39號","34-19886","2018",2022-11-22,2032-11-21,"","","","",""
"Manor Hill (Podium)","海茵莊園 (Podium)","1 Shek Kok Road, Tseung Kwan O, New Territories","新界將軍澳石角路1號","34-19643","2018",2022-11-23,2032-11-22,"","837816","22.39479","114.19191","828392"
"Manor Hill (Tower 1)","海茵莊園 (Tower 1)","1 Shek Kok Road, Tseung Kwan O, New Territories","新界將軍澳石角路1號","34-19644","2018",2022-11-23,2032-11-22,"","833279","22.24506","114.14788","811812"
"Manor Hill (Tower 2)","海茵莊園 (Tower 2)","1 Shek Kok Road, Tseung Kwan O, New Territories","新界將軍澳石角路1號","34-19645","2018",2022-11-23,2032-11-22,"","833278","22.24465","114.14786","811767"
"Goodman Tsuen Wan West Building 1","嘉民荃灣西一座","18 Sha Tsui Road, Tsuen Wan, New Territories","新界荃灣沙咀道18號","34-19918","2018",2022-11-24,2032-11-23,"","830153","22.36489","114.11751","825083"
"Post-Secondary College (PSC) of Tai Wai Station Property Development","","18 Che Kung Miu Road, Sha Tin, New Territories on Sha Tin Town Lot No. 520","新界沙田車公廟路18號","34-17783","2018",2022-12-14,2032-12-13,"","820105","22.3614","114.01995","824703"
"No. 1016-1018 Tai Nan West Street","大南西街1016-1018號","1016-1018, Tai Nan West Street, Cheung Sha Wan, Kowloon","九龍長沙灣大南西街1016-1018號","34-20338","2018",2022-12-08,2032-12-07,"","833387","22.33954","114.1489","822274"
"SILVERSANDS (TOWER 1)","-","8 Yiu Sha Road, Ma On Shan, New Territories","新界馬鞍山耀沙路8號","34-19893","2018",2022-12-08,2032-12-07,"","","","",""
"SILVERSANDS (TOWER 2)","-","8 Yiu Sha Road, Ma On Shan, New Territories","新界馬鞍山耀沙路8號","34-19894","2018",2022-12-08,2032-12-07,"","","","",""
"SILVERSANDS (TOWER 3)","-","8 Yiu Sha Road, Ma On Shan, New Territories","新界馬鞍山耀沙路8號","34-19895","2018",2022-12-08,2032-12-07,"","","","",""
"SILVERSANDS (TOWER 5)","-","8 Yiu Sha Road, Ma On Shan, New Territories","新界馬鞍山耀沙路8號","34-19896","2018",2022-12-08,2032-12-07,"","","","",""
"SILVERSANDS (CLUBHOUSE AND CARPARK)","-","8 Yiu Sha Road, Ma On Shan, New Territories","新界馬鞍山耀沙路8號","34-19897","2018",2022-12-08,2032-12-07,"","","","",""
"Eight Star Street - Retail","","8 Star Street, Wan Chai, Hong Kong","香港灣仔星街8號","34-19872","2018",2022-12-12,2032-12-11,"","835404","22.27584","114.16849","815220"
"Eight Star Street - Tower","","8 Star Street, Wan Chai, Hong Kong","香港灣仔星街8號","34-19873","2018",2022-12-12,2032-12-11,"","835285","22.27646","114.16734","815289"
"Educational Institution (Lam Tsuen Farmland) - Block 1 (Adult Barn)","","28 Ngau Kwu Leng Path, Tai Po, New Territories","新界大埔牛牯嶺徑28號","34-20279","2018",2022-12-20,2032-12-19,"","816291","22.41878","113.98284","831062"
"Educational Institution (Lam Tsuen Farmland) - Block 3 (Main Building)","","28 Ngau Kwu Leng Path, Tai Po, New Territories","新界大埔牛牯嶺徑28號","34-20280","2018",2022-12-20,2032-12-19,"","816312","22.4186","113.98305","831041"
"Educational Institution (Lam Tsuen Farmland) - Block 4 (Changing Room)","","28 Ngau Kwu Leng Path, Tai Po, New Territories","新界大埔牛牯嶺徑28號","34-20281","2018",2022-12-20,2032-12-19,"","816332","22.4187","113.98324","831053"
"Educational Institution (Lam Tsuen Farmland) - Block 5, 10 & 11 (Caretaker Quarter)","","28 Ngau Kwu Leng Path, Tai Po, New Territories","新界大埔牛牯嶺徑28號","34-20282","2018",2022-12-20,2032-12-19,"","840888","22.21379","114.22168","808350"
"Educational Institution (Lam Tsuen Farmland) - Block 2 (Young Stock Barn)","","28 Ngau Kwu Leng Path, Tai Po, New Territories","新界大埔牛牯嶺徑28號","34-20323","2018",2022-12-20,2032-12-19,"","816287","22.41864","113.9828","831046"
"Educational Institution (Lam Tsuen Farmland) - Block 7 (Feed Store Block)","","28 Ngau Kwu Leng Path, Tai Po, New Territories","新界大埔牛牯嶺徑28號","34-20324","2018",2022-12-20,2032-12-19,"","820173","22.41799","114.02055","830970"
"Educational Institution (Lam Tsuen Farmland) - Block 12 (Store)","","28 Ngau Kwu Leng Path, Tai Po, New Territories","新界大埔牛牯嶺徑28號","34-20325","2018",2022-12-20,2032-12-19,"","820281","22.42207","114.02159","831421"
"Footbridge No. 1","1號行人天橋","Airport Expo Boulevard, Lantau Island, New Territories","新界大嶼山航展道","34-20810","2018",2022-12-15,2032-12-14,"","836706","22.27744","114.18112","815397"
"Dip Tsui Court","蝶翠苑","388 Chai Wan Road, Chai Wan, Hong Kong","香港柴灣柴灣道388號","34-19292","2015",2022-12-16,2032-12-15,"","821213","22.43725","114.03062","833102"
"Exhibition Centre Station","會展站","Convention Avenue, Wan Chai, Hong Kong","香港灣仔會議道","34-16176","2012 (Rev.1)",2022-12-22,2032-12-21,"","835948","22.28095","114.17377","815787"
"Airport North Fire Station","機場北消防局","Airport North Fire Station, Hong Kong International Airport, Chek Lap Kok, Lantau, New Territories","新界大嶼山赤臘角香港國際機場北消防局","34-20806","2018",2022-12-22,2032-12-21,"","807445","22.3046","113.89714","818432"
"Golden Resources Tower","金源集團大廈","218 Jaffe Road, Wan Chai, Hong Kong","香港灣仔謝斐道218號","34-19987","2018",2022-12-22,2032-12-21,"","839236","22.38301","114.2057","827089"
"Island School","港島中學","20 Borrett Road, Mid-Levels, Hong Kong","香港半山波老道20號","34-19911","2018",2022-12-23,2032-12-22,"","834848","22.2737","114.16309","814983"
"Residential Development at 138 Pok Fu Lam Road","薄扶林道138號住宅發展項目","138 Pok Fu Lam Road, Pok Fu Lam, Hong Kong","香港薄扶林薄扶林道138號","34-19069","2015",2022-12-23,2032-12-22,"","831798","22.26533","114.13351","814057"
"Integrated Airport Control (IAC) Centre","機場中央控制中心","Hong Kong International Airport, Chek Lap Kok, Lantau, New Territories","新界大嶼山赤臘角香港國際機場","34-19988","2018",2022-12-29,2032-12-28,"","837722","22.45689","114.191","835269"
"LP10 (Tower 1)","LP10 (第一座)","No. 1 Lohas Road, Tseung Kwan O, New Territories","新界將軍澳康城路1號","34-18636","2015",2022-12-29,2032-12-28,"","845601","22.29271","114.26745","817091"
"LP10 (Podium)","LP10 (平台)","No. 1 Lohas Road, Tseung Kwan O, New Territories","新界將軍澳康城路1號","34-18637","2015",2022-12-29,2032-12-28,"","845601","22.29271","114.26745","817091"
"LP10 (Tower 2)","LP10 (第二座)","No. 1 Lohas Road, Tseung Kwan O, New Territories","新界將軍澳康城路1號","34-18638","2015",2022-12-29,2032-12-28,"","845601","22.29271","114.26745","817091"
"Our Lady of Maryknoll Hospital - Temporary Building","聖母醫院 - 臨時建築物","118 Shatin Pass Road, Wong Tai Sin, Kowloon","九龍黃大仙沙田坳道118號","34-20477","2018",2022-12-28,2032-12-27,"","838263","22.34539","114.19624","822922"
"Inland Revenue Centre","稅務中心","5 Concorde Road, Kai Tak, Kowloon","九龍啟德協調道5號","34-18695","2015",2022-12-30,2032-12-29,"","838511","22.33318","114.19864","821570"
"Benevolence House, St Stephen's College","聖士提反書院尚善樓","22 Tung Tau Wan Road, Stanley, Hong Kong","香港赤柱東頭灣道22號","34-20066","2018",2023-01-03,2033-01-02,"","840223","22.21704","114.21524","808710"
"AES Building","先進大廈","48 Wang Lee Street, Yuen Long, New Territories","新界元朗宏利街48號","34-19109","2015",2023-01-05,2033-01-04,"","832163","22.36893","114.13702","825529"
"Maryknoll Secondary School","瑪利諾中學","27 On Sau Road, Kwun Tong, Kowloon","九龍觀塘安秀路27號","34-19622","2018",2023-01-12,2033-01-11,"","836622","22.32821","114.18031","821020"
"Proposed Development at No. 299 Kwun Tong Road","","299 Kwun Tong Road, Kwun Tong, Kowloon","九龍觀塘觀塘道299號","34-21106","2021",2023-01-13,2033-01-12,"","840247","22.3174","114.2155","819823"
"Podium of EI Futuro","名日‧九肚山 (平台層)","18 Lai Ping Road, Kau To, Sha Tin, New Territories","新界沙田九肚麗坪路18號","34-19696","2018",2023-01-16,2033-01-15,"","839386","22.41109","114.20716","830198"
"Tower 1 of EI Futuro","名日‧九肚山 (第一座)","18 Lai Ping Road, Kau To, Sha Tin, New Territories","新界沙田九肚麗坪路18號","34-19697","2018",2023-01-16,2033-01-15,"","839388","22.41119","114.20718","830208"
"Tower 2 of EI Futuro","名日‧九肚山 (第二座)","18 Lai Ping Road, Kau To, Sha Tin, New Territories","新界沙田九肚麗坪路18號","34-19698","2018",2023-01-16,2033-01-15,"","839388","22.41119","114.20718","830208"
"Aircraft Recovery Equipment Store and Observation Facility","搶救飛機用器材庫及臨時航空交通指揮塔","Hong Kong International Airport, Chek Lap Kok Lot No. 4, Chek Lap Kok, Lantau, New Territories","新界大嶼山赤鱲角赤鱲角地段第４號香港國際機場","34-19823","2018",2023-01-17,2033-01-16,"","810811","22.30367","113.92981","818324"
"North District Temporary Wholesale Market for Agricultural Products Management Office Building","北區臨時農產品批發市場管理大樓","On Kui Street, Fanling, New Territories","新界粉嶺安居街","34-19966","2018",2023-01-17,2033-01-16,"","832191","22.28932","114.13731","816714"
"10 Wellington","威靈頓10號","10-12 Wellington Street, Central, Hong Kong","香港中環威靈頓街10-12號","34-19772","2018",2023-01-17,2033-01-16,"","834118","22.28093","114.15601","815784"
"Warehouse","","15 Ho Wo Street, Tuen Mun, New Territories","新界屯門浩和街15號","34-19753","2018",2023-01-18,2033-01-17,"","843403","22.26983","114.2461","814557"
"Proposed Residential Development at No. 1 Plantation Road, The Peak (Clubhouse)","","1 Plantation Road, The Peak, Hong Kong","","34-16173","2012",2023-01-18,2033-01-17,"","833768","22.2683","114.15261","814386"
"Proposed Residential Development at No. 1 Plantation Road, The Peak (Carpark)","","1 Plantation Road, The Peak, Hong Kong","","34-16174","2012",2023-01-18,2033-01-17,"","833768","22.2683","114.15261","814386"
"TWGHs Tsoi Wing Sing Primary School","東華三院蔡榮星小學","Pok Chuen Street, Shui Chuen O, Sha Tin, New Territories","新界沙田水泉澳博泉街","34-19717","2018",2023-01-19,2033-01-18,"","836363","22.37849","114.1778","826587"
"Kai Chuen Court (Phase 1B)","啟鑽苑第一B期","235, Choi Hung Road, Wong Tai Sin, Kowloon","九龍黃大仙彩虹道235號","34-21145","2015",2023-01-27,2033-01-26,"","838683","22.33972","114.20032","822294"
"United Hall, United Court - Transitional Housing Project at Tung Tau, Yuen Long","同心村 - 元朗東頭過渡性房屋項目 同活動","1 Shan Pui Road, Tung Tau, Yuen Long, New Territories","新界元朗東頭山貝路1號","34-20508","2018",2023-01-30,2033-01-29,"","821516","22.45202","114.03355","834737"
"Estate Office, United Court - Transitional Housing Project at Tung Tau, Yuen Long","同心村 - 元朗東頭過渡性房屋項目 物業管理處","1 Shan Pui Road, Tung Tau, Yuen Long, New Territories","新界元朗東頭山貝路1號","34-20509","2018",2023-01-30,2033-01-29,"","834443","22.45235","114.15914","834766"
"Integrated Service Complex, United Court - Transitional Housing Project at Tung Tau, Yuen Long","同心村 - 元朗東頭過渡性房屋項目 綜合服務大樓","1 Shan Pui Road, Tung Tau, Yuen Long, New Territories","新界元朗東頭山貝路1號","34-20512","2018",2023-01-30,2033-01-29,"","834014","22.34114","114.15499","822451"
"St. George's Mansions (Residential Tower 1)","","24A Kadoorie Avenue, Ho Man Tin, Kowloon","九龍何文田嘉道理道24A號","34-19605","2018",2023-01-20,2033-01-19,"","836268","22.32136","114.17687","820261"
"St. George's Mansions (Residential Tower 2)","","24A Kadoorie Avenue, Ho Man Tin, Kowloon","九龍何文田嘉道理道24A號","34-19606","2018",2023-01-20,2033-01-19,"","836242","22.32124","114.17663","820248"
"St. George's Mansions (Residential Tower 3)","","24A Kadoorie Avenue, Ho Man Tin, Kowloon","九龍何文田嘉道理道24A號","34-19607","2018",2023-01-20,2033-01-19,"","836213","22.32117","114.17634","820240"
"St. George's Mansions (Podium)","","24A Kadoorie Avenue, Ho Man Tin, Kowloon","九龍何文田嘉道理道24A號","34-19608","2018",2023-01-20,2033-01-19,"","829200","22.3489","114.10826","823313"
"One Innovale - Tower A","","8 Ma Sik Road, Fanling, New Territories","新界粉嶺馬適路8號","34-19876","2018",2023-01-20,2033-01-19,"","832933","22.50281","114.14446","840355"
"One Innovale - Tower B","","8 Ma Sik Road, Fanling, New Territories","新界粉嶺馬適路8號","34-19877","2018",2023-01-20,2033-01-19,"","832958","22.50307","114.1447","840383"
"One Innovale - Basement Carpark, Clubhouse and G/F Common Areas","","8 Ma Sik Road, Fanling, New Territories","新界粉嶺馬適路8號","34-19880","2018",2023-01-20,2033-01-19,"","832933","22.50281","114.14446","840355"
"AIRSIDE Office (North)","AIRSIDE Office (北座)","2 Concorde Road, Kai Tak, Kowloon","九龍啓德協調道2號","34-19206","2015",2023-01-27,2033-01-26,"","832451","22.28598","114.13983","816343"
"AIRSIDE Office (South)","AIRSIDE Office (南座)","2 Concorde Road, Kai Tak, Kowloon","九龍啓德協調道2號","34-19207","2015",2023-01-27,2033-01-26,"","832451","22.28598","114.13983","816343"
"AIRSIDE (Retail and Basement)","AIRSIDE (商場及地庫)","2 Concorde Road, Kai Tak, Kowloon","九龍啓德協調道2號","34-19208","2015",2023-01-27,2033-01-26,"","832153","22.25055","114.13695","812420"
